test accuracy,recall,precision,trainingset_size,type,method,seed,percentage_spray
83.39999999999999,0.4967948717948718,0.9451219512195121,3000,active learning,random,1,0.2806666666666667
83.39999999999999,0.5801282051282052,0.8379629629629629,3500,active learning,random,1,0.2817142857142857
82.5,0.532051282051282,0.8512820512820513,4000,active learning,random,1,0.28375
85.0,0.5833333333333334,0.900990099009901,4500,active learning,random,1,0.288
83.6,0.4967948717948718,0.9567901234567902,5000,active learning,random,1,0.2862
76.3,0.36538461538461536,0.7450980392156863,500,active learning,uncertainty_monte_carlo,1,0.266
81.89999999999999,0.4583333333333333,0.9225806451612903,1000,active learning,uncertainty_monte_carlo,1,0.411
81.5,0.5160256410256411,0.8256410256410256,1500,active learning,uncertainty_monte_carlo,1,0.49666666666666665
84.3,0.5737179487179487,0.8817733990147784,2000,active learning,uncertainty_monte_carlo,1,0.496
82.6,0.6666666666666666,0.7482014388489209,2500,active learning,uncertainty_monte_carlo,1,0.5284
86.3,0.6378205128205128,0.8923766816143498,3000,active learning,uncertainty_monte_carlo,1,0.505
85.8,0.6955128205128205,0.821969696969697,3500,active learning,uncertainty_monte_carlo,1,0.472
85.9,0.6442307692307693,0.8701298701298701,4000,active learning,uncertainty_monte_carlo,1,0.4955
85.8,0.5961538461538461,0.9207920792079208,4500,active learning,uncertainty_monte_carlo,1,0.47244444444444444
86.0,0.657051282051282,0.8613445378151261,5000,active learning,uncertainty_monte_carlo,1,0.4768
78.0,0.4230769230769231,0.7674418604651163,500,active learning,uncertainty,2,0.266
74.4,0.3108974358974359,0.7028985507246377,1000,active learning,uncertainty,2,0.377
80.80000000000001,0.4423076923076923,0.8846153846153846,1500,active learning,uncertainty,2,0.412
82.89999999999999,0.6185897435897436,0.7877551020408163,2000,active learning,uncertainty,2,0.454
84.2,0.5544871794871795,0.9010416666666666,2500,active learning,uncertainty,2,0.4412
86.4,0.6730769230769231,0.860655737704918,3000,active learning,uncertainty,2,0.453
84.2,0.5480769230769231,0.9095744680851063,3500,active learning,uncertainty,2,0.43942857142857145
87.2,0.6602564102564102,0.9035087719298246,4000,active learning,uncertainty,2,0.453
85.7,0.5833333333333334,0.9333333333333333,4500,active learning,uncertainty,2,0.4568888888888889
86.7,0.6346153846153846,0.9124423963133641,5000,active learning,uncertainty,2,0.452
78.0,0.4230769230769231,0.7674418604651163,500,active learning,random,2,0.266
81.39999999999999,0.5576923076923077,0.7837837837837838,1000,active learning,random,2,0.28
79.9,0.4326923076923077,0.8490566037735849,1500,active learning,random,2,0.288
79.10000000000001,0.3557692307692308,0.9327731092436975,2000,active learning,random,2,0.3
78.10000000000001,0.32051282051282054,0.9345794392523364,2500,active learning,random,2,0.3004
83.1,0.5,0.9230769230769231,3000,active learning,random,2,0.29533333333333334
84.7,0.5673076923076923,0.9076923076923077,3500,active learning,random,2,0.29285714285714287
85.39999999999999,0.6442307692307693,0.8516949152542372,4000,active learning,random,2,0.28925
83.0,0.4935897435897436,0.927710843373494,4500,active learning,random,2,0.28933333333333333
85.5,0.5705128205128205,0.9417989417989417,5000,active learning,random,2,0.2904
78.0,0.4230769230769231,0.7674418604651163,500,active learning,uncertainty_monte_carlo,2,0.266
82.19999999999999,0.5384615384615384,0.8316831683168316,1000,active learning,uncertainty_monte_carlo,2,0.44
82.6,0.4807692307692308,0.9259259259259259,1500,active learning,uncertainty_monte_carlo,2,0.442
84.39999999999999,0.6153846153846154,0.8421052631578947,2000,active learning,uncertainty_monte_carlo,2,0.515
85.1,0.6217948717948718,0.8622222222222222,2500,active learning,uncertainty_monte_carlo,2,0.47
84.1,0.5576923076923077,0.8923076923076924,3000,active learning,uncertainty_monte_carlo,2,0.48633333333333334
85.0,0.6121794871794872,0.8681818181818182,3500,active learning,uncertainty_monte_carlo,2,0.5545714285714286
86.1,0.6666666666666666,0.8559670781893004,4000,active learning,uncertainty_monte_carlo,2,0.516
86.6,0.657051282051282,0.8836206896551724,4500,active learning,uncertainty_monte_carlo,2,0.5375555555555556
86.5,0.6538461538461539,0.8831168831168831,5000,active learning,uncertainty_monte_carlo,2,0.5058
74.6,0.2692307692307692,0.7636363636363637,500,active learning,uncertainty,3,0.266
