test accuracy,recall,precision,trainingset_size,type,method,seed,percentage_spray
82.68571428571428,0.6418338108882522,0.7441860465116279,2400,active learning,uncertainty,2,0.42833333333333334
85.11428571428571,0.5644699140401146,0.9009146341463414,3600,active learning,uncertainty,2,0.3947222222222222
87.4,0.6666666666666666,0.8835443037974684,4800,active learning,uncertainty,2,0.40770833333333334
86.85714285714286,0.6876790830945558,0.8440797186400938,6000,active learning,uncertainty,2,0.389
87.71428571428571,0.6504297994269341,0.9140939597315436,7200,active learning,uncertainty,2,0.37722222222222224
87.02857142857144,0.6446991404011462,0.8916776750330251,8400,active learning,uncertainty,2,0.3513095238095238
87.8,0.6857688634192932,0.8799019607843137,9600,active learning,uncertainty,2,0.34572916666666664
87.97142857142856,0.6685768863419294,0.9043927648578811,10800,active learning,uncertainty,2,0.3236111111111111
87.54285714285714,0.6380133715377269,0.9213793103448276,12000,active learning,uncertainty,2,0.31433333333333335
81.22857142857143,0.44508118433619864,0.8597785977859779,1200,active learning,uncertainty_monte_carlo,2,0.2833333333333333
83.91428571428573,0.5405921680993314,0.8734567901234568,2400,active learning,uncertainty_monte_carlo,2,0.42333333333333334
85.8,0.5816618911174785,0.9116766467065869,3600,active learning,uncertainty_monte_carlo,2,0.43972222222222224
86.22857142857143,0.6055396370582617,0.9018492176386913,4800,active learning,uncertainty_monte_carlo,2,0.409375
87.02857142857144,0.664756446991404,0.8710888610763454,6000,active learning,uncertainty_monte_carlo,2,0.39866666666666667
86.97142857142856,0.6743075453677173,0.8599269183922046,7200,active learning,uncertainty_monte_carlo,2,0.4047222222222222
88.25714285714285,0.7268385864374403,0.8589164785553047,8400,active learning,uncertainty_monte_carlo,2,0.3767857142857143
86.22857142857143,0.6017191977077364,0.9064748201438849,9600,active learning,uncertainty_monte_carlo,2,0.34479166666666666
87.17142857142856,0.6351480420248329,0.9084699453551912,10800,active learning,uncertainty_monte_carlo,2,0.3371296296296296
87.2,0.6389684813753582,0.9052774018944519,12000,active learning,uncertainty_monte_carlo,2,0.3139166666666667
81.22857142857143,0.44508118433619864,0.8597785977859779,1200,active learning,random,2,0.2833333333333333
82.08571428571429,0.45367717287488063,0.8962264150943396,2400,active learning,random,2,0.28875
85.25714285714285,0.5940783190066857,0.8723702664796634,3600,active learning,random,2,0.29888888888888887
85.28571428571429,0.5482330468003821,0.9318181818181818,4800,active learning,random,2,0.2991666666666667
86.94285714285715,0.6628462273161414,0.8696741854636592,6000,active learning,random,2,0.29383333333333334
86.02857142857144,0.5978987583572111,0.9020172910662824,7200,active learning,random,2,0.29694444444444446
86.85714285714286,0.6112702960840497,0.9235209235209235,8400,active learning,random,2,0.2975
87.37142857142857,0.6370582617000955,0.9149519890260631,9600,active learning,random,2,0.29854166666666665
87.02857142857144,0.6303724928366762,0.9078404401650619,10800,active learning,random,2,0.29768518518518516
87.4,0.623686723973257,0.9328571428571428,12000,active learning,random,2,0.29775
81.45714285714286,0.5472779369627507,0.766042780748663,1200,active learning,uncertainty,3,0.2833333333333333
82.54285714285714,0.47277936962750716,0.8935018050541517,2400,active learning,uncertainty,3,0.35583333333333333
84.65714285714286,0.5482330468003821,0.8996865203761756,3600,active learning,uncertainty,3,0.42444444444444446
86.6,0.66189111747851,0.8576732673267327,4800,active learning,uncertainty,3,0.44895833333333335
87.77142857142857,0.711556829035339,0.8553386911595867,6000,active learning,uncertainty,3,0.4181666666666667
87.85714285714286,0.6628462273161414,0.9060052219321149,7200,active learning,uncertainty,3,0.3838888888888889
87.8,0.6475644699140402,0.9211956521739131,8400,active learning,uncertainty,3,0.37773809523809526
87.88571428571429,0.6695319961795606,0.8998716302952503,9600,active learning,uncertainty,3,0.36333333333333334
87.65714285714286,0.6599808978032474,0.9009126466753585,10800,active learning,uncertainty,3,0.3410185185185185
87.37142857142857,0.6666666666666666,0.8824273072060683,12000,active learning,uncertainty,3,0.31433333333333335
81.45714285714286,0.5472779369627507,0.766042780748663,1200,active learning,uncertainty_monte_carlo,3,0.2833333333333333
84.68571428571428,0.5472779369627507,0.9023622047244094,2400,active learning,uncertainty_monte_carlo,3,0.36791666666666667
84.25714285714285,0.6446991404011462,0.7903981264637002,3600,active learning,uncertainty_monte_carlo,3,0.4111111111111111
86.45714285714286,0.6418338108882522,0.8715953307392996,4800,active learning,uncertainty_monte_carlo,3,0.43645833333333334
86.62857142857143,0.731614135625597,0.8037775445960126,6000,active learning,uncertainty_monte_carlo,3,0.43716666666666665
86.97142857142856,0.6427889207258835,0.8913907284768212,7200,active learning,uncertainty_monte_carlo,3,0.3993055555555556
86.4,0.6074498567335244,0.9072753209700428,8400,active learning,uncertainty_monte_carlo,3,0.381547619047619
87.97142857142856,0.7096466093600764,0.8639534883720931,9600,active learning,uncertainty_monte_carlo,3,0.3525
88.05714285714285,0.6714422158548233,0.9047619047619048,10800,active learning,uncertainty_monte_carlo,3,0.3371296296296296
88.74285714285715,0.6790830945558739,0.9245773732119635,12000,active learning,uncertainty_monte_carlo,3,0.3140833333333333
81.45714285714286,0.5472779369627507,0.766042780748663,1200,active learning,random,3,0.2833333333333333
83.77142857142857,0.5310410697230181,0.8783570300157978,2400,active learning,random,3,0.28791666666666665
84.8,0.5893027698185291,0.8581363004172462,3600,active learning,random,3,0.2936111111111111
